data_year,id,property_name,reporting_status,address,zip_code,chicago_energy_rating,exempt_from_chicago_energy_rating,community_area,primary_property_type,gross_floor_area_buildings_sq_ft,year_built,of_buildings,water_use_kgal,energy_star_score,electricity_use_kbtu,natural_gas_use_kbtu,district_steam_use_kbtu,district_chilled_water_use_kbtu,all_other_fuel_use_kbtu,site_eui_kbtu_sq_ft,source_eui_kbtu_sq_ft,weather_normalized_site_eui_kbtu_sq_ft,weather_normalized_source_eui_kbtu_sq_ft,total_ghg_emissions_metric_tons_co2e,ghg_intensity_kg_co2e_sq_ft,latitude,longitude,location,row_id,d2_address,d2_zip,d2_cohort_sector,d2_cohort_size,verification_year,community_area_name,community_area_number,ward,neighbors,imputation_confidence
2014,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1.0,,75.0,21470037.0,42125999.0,,,,206,361,200,355,6551.0,21.2,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2014-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2015,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1.0,,80.0,21544439.0,38676396.0,,,,194.9,350.3,197.5,351.5,6383.0,20.7,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2015-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2016,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1.0,,84.0,21387596.6,37456864.9,,,,190.4,344.6,194.6,345.9,5931.7,19.2,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2016-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2017,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1.0,,85.0,21338109.0,35082960.0,,,,182.6,336,186.9,338.4,5808.7,18.8,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2017-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2018,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,,True,WEST TOWN,Mixed Use Property,309056.0,1928.0,1.0,67,,20125763.9,38225615.2,,,,188.8,312.2,186.5,308.4,5378.6,17.4,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2018-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2019,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 N Claremont Ave,60622,,True,WEST TOWN,Mixed Use Property,309056.0,1928.0,3.0,,,19078781.5,36039512.8,,,,178.3,,,,,,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2019-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2020,100001,Presence SMEMC St Elizabeth Campus,Submitted Data,1431 N Claremont Ave,60622,,True,WEST TOWN,Mixed Use Property,505417.0,1928.0,3.0,,,18515849.3,35580195.2,,,,175,288.6,180,294,4779.6,15.5,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2020-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2021,100001,Ascension SMEMC St Elizabeth Campus,Submitted,1431 N Claremont Ave,60622,,True,WEST TOWN,Mixed Use Property,505417.0,1928.0,3.0,,,18651203.3,34208710.8,0,0,,171,285.2,175.3,286.7,4480.9,14.5,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2021-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2022,100001,Presence SMEMC St Elizabeth Campus,Submitted Data,1431 N Claremont Ave,60622,,True,WEST TOWN,Mixed Use Property,505417.0,1928.0,3.0,,,16795066.2,33899078.5,0,0,,164,267.3,164.7,265.2,4012.7,13.0,41.90762720752,-87.68578575864,"(41.907627207523525, -87.68578575863826)",2022-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
2023,100001,Ascension SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,,True,West Town,Mixed Use Property,309056.0,1928.0,3.0,,,19177355.6,31030719.1,,,,162.5,279.2,173.4,289,4331.5,14.0,41.898318,-87.621377,"(41.898318, -87.621377)",2023-100001,1431 N Claremont Ave,60622.0,Commercial,"> 250,000 Sq Ft",2027.0,West Town,24.0,1.0,,
